2002|ZONA FRANCA INDUSTRIAL DE BIENES  Y DE SERVICIOS DE BARRANQUILLA S.A. USUARIO OPERADOR DE ZONA FRANCA.|Aduanas de Barranquilla|ZONA FRANCA|CR 30 AV HAMBURGO ED ADMINISTRATIVO P 4|1993-02-18|2024-06-20
2003|Zona Franca De Bogotá S.A.|Aduanas de Bogotá|ZONA FRANCA|Carrera 106 No. 15-25|1992-09-25|2022-11-16
2004|ZONA FRANCA PERMANENTE PALMASECA S.A USUARIO OPERADOR DE ZONA FRANCA|Aduanas de Cali|ZONA FRANCA|Contiguo Aeropuerto Alfonso Bonilla Aragón|1993-12-30|2023-12-26
2005|Zona Franca del Pacífico S.A. Usuario Operador de Zona Franca|Aduanas de Cali|ZONA FRANCA|Kilometro 6 Carretara Via Yumbo Aeropuerto|1992-06-16|2023-12-26
2006|Sociedad Operadora Zona Franca Industrial De Bienes Y Servic|Aduanas de Cartagena|ZONA FRANCA|Manga Calle 29 No. 27-05|1993-12-02|2028-12-18
2007|Zona Franca De La Candelaria. Centro Internacional Cartagena|Aduanas de Cartagena|ZONA FRANCA|Via Mamonal Km. 12|1992-11-04|2023-12-26
2011|ASOCIACION ENSAMBLADORA SOCIEDAD ANONIMA|Delegada Aduanas de Armenia|DEP PRIV TRANSF|BODEGA 01 KM 5 VÍA AL AEROPUERTO PAR.MUR|1991-11-19|9999-12-31
2012|ACERIAS DE COLOMBIA ACESCO & CIA S C A|Aduanas de Barranquilla|DEP PRIV|PARQUE INDUSTRIAL MALAMBO PIMSA KM. 3 VIA SABANAGRANDE.|2005-11-09|2015-10-04
2013|RYMCO S.A.|Aduanas de Barranquilla|DEP PRIV|CALLE 80 No.78B-51|2005-08-26|2015-08-13
2014|MOLINOS DEL ATLANTICO S.A.|Aduanas de Barranquilla|DEP PRIV|VIA 40 Nº 62-174|2006-02-14|2016-01-31
2015|INDUSTRIAS COLOMBIA INDUCOL S A|Aduanas de Barranquilla|DEP PRIV|Vía 40 No.76-188|2006-02-17|2016-01-20
2016|MONOMEROS COLOMBO VENEZOLANOS S.A.|Aduanas de Barranquilla|DEP PRIV|VIA 40 LAS FLORES |2006-02-16|2016-01-21
2017|CURTIEMBRES BUFALO S. A.|Aduanas de Barranquilla|DEP PRIV|CALLE 10 No.33-100|2005-12-22|2016-01-04
2018|CONTINENTE S A|Aduanas de Barranquilla|DEP PRIV|VIA 40 No. 77-29|2006-05-25|2015-04-26
2021|YARA COLOMBIA LTDA|Aduanas de Barranquilla|DEP PRIV|C.I METROPARQUE INTERSECCION CIRCUNVALAR|1991-11-19|9999-12-31
2022|BAYER CROPSCIENCE S.A.|Aduanas de Barranquilla|DEP PRIV|CARRERA 50 CALLE 8 SOLEDAD|2008-01-21|2013-01-21
2023|PRODUCTORA DE INSUMOS AGROPECUARIOS SOMEX S.A.|Aduanas de Barranquilla|DEP PRIV|KILOMETRO 3,VIA MALAMBO-SABANAGRANDE|1991-11-19|2015-09-06
2026|Almagrario S.A - B/Quilla-Autop.Aerop.|Aduanas de Barranquilla|DEP PUBL|AUTOP.AEROP.MANUELA BELTRAN.SOLEDA|2007-01-22|2017-07-11
2027|Almaviva S.A. B/Quilla - Via 40.|Aduanas de Barranquilla|DEP PUBL|VIA 40 No. 54-178|2008-06-05|2013-06-05
2028|Alpopular Barranquilla|Aduanas de Barranquilla|DEP PUBL|AUTOP AEROPTO MPIO SOLEDAD CALLE 31 2395|2006-09-20|2017-04-24
